City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Grand Gaube,MU,84.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
6,Dingle,PH,84.87,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
8,Souillac,MU,75.2,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
12,Cayenne,GF,75.2,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
14,Rikitea,PF,79.54,clear sky,-23.1203,-134.9692,Pension Maro'i
15,Vaini,TO,82.4,light rain,-21.2,-175.2,Keleti Beach Resort
18,Hobart,AU,90.0,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
19,Port Blair,IN,80.92,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
21,Biri,PH,81.1,clear sky,12.6833,124.3636,Exequiel and Wyn Lodging House
22,Honiara,SB,85.46,overcast clouds,-9.4333,159.95,Heritage Park Hotel
28,Faanui,PF,81.25,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
35,Jerantut,MY,84.97,scattered clouds,3.9360000000000004,102.3626,Jerantut Hill Resort
39,Mar Del Plata,AR,75.99,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
41,New Norfolk,AU,90.0,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
42,Puerto Ayora,EC,75.99,broken clouds,-0.7393,-90.3518,Castillo Galapagos
47,Mahebourg,MU,75.2,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
49,Bambous Virieux,MU,84.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
51,Cabedelo,BR,75.2,clear sky,-6.9811,-34.8339,Hotel Pigalle
63,Kathu,TH,86.0,few clouds,7.9178,98.3332,Novotel Phuket Resort
65,Atambua,ID,81.01,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
66,Atuona,PF,78.15,clear sky,-9.8,-139.0333,Villa Enata
73,Port Macquarie,AU,90.0,clear sky,-31.4333,152.9167,Rydges Port Macquarie
76,Hithadhoo,MV,81.63,broken clouds,-0.6,73.0833,Scoop Guest House
81,Kapaa,US,75.2,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
92,Quelimane,MZ,77.0,light rain,-17.8786,36.8883,Hotel Flamingo
95,Tadine,NC,78.46,overcast clouds,-21.55,167.8833,
