City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Iqaluit,CA,63.7506,-68.5145,6.8,78,1,23.02,clear sky
1,Tura,IN,25.5198,90.2201,70.68,44,78,2.59,broken clouds
2,Skegness,GB,53.1436,0.3363,33.01,100,40,4.61,fog
3,Grand Gaube,MU,-20.0064,57.6608,84.0,71,4,1.99,clear sky
4,Westport,US,41.1415,-73.3579,23.0,55,0,15.9,clear sky
5,Ushuaia,AR,-54.8,-68.3,57.2,41,40,16.11,scattered clouds
6,Dingle,PH,10.9995,122.6711,84.87,69,100,5.21,overcast clouds
7,Atasu,KZ,48.6814,71.6433,-10.68,90,76,3.58,snow
8,Souillac,MU,-20.5167,57.5167,75.2,94,40,2.3,scattered clouds
9,Jamestown,US,42.097,-79.2353,17.6,86,90,5.75,light snow
10,Mataura,NZ,-46.1927,168.8643,60.01,80,99,21.99,overcast clouds
11,Ganzhou,CN,28.8184,115.4327,58.77,53,0,5.73,clear sky
12,Cayenne,GF,4.9333,-52.3333,75.2,100,90,11.27,overcast clouds
13,Albany,US,42.6001,-73.9662,16.0,55,0,4.0,clear sky
14,Rikitea,PF,-23.1203,-134.9692,79.54,65,0,7.52,clear sky
15,Vaini,TO,-21.2,-175.2,82.4,83,75,8.05,light rain
16,Busselton,AU,-33.65,115.3333,73.0,62,43,4.0,scattered clouds
17,Dikson,RU,73.5069,80.5464,-16.38,90,78,7.85,broken clouds
18,Hobart,AU,-42.8794,147.3294,90.0,50,75,13.8,broken clouds
19,Port Blair,IN,11.6667,92.75,80.92,60,7,10.54,clear sky
20,Sulphur,US,30.2366,-93.3774,62.6,94,90,9.22,mist
21,Biri,PH,12.6833,124.3636,81.1,75,0,4.79,clear sky
22,Honiara,SB,-9.4333,159.95,85.46,60,100,5.91,overcast clouds
23,Juneau,US,58.3019,-134.4197,32.0,86,90,17.27,light snow
24,Bluff,NZ,-46.6,168.3333,60.01,80,92,21.99,overcast clouds
25,Barrow,US,71.2906,-156.7887,1.4,78,1,16.11,haze
26,Ust-Tsilma,RU,65.441,52.1498,-1.01,91,100,9.75,light snow
27,Bredasdorp,ZA,-34.5322,20.0403,57.2,82,29,6.91,scattered clouds
28,Faanui,PF,-16.4833,-151.75,81.25,73,0,12.17,clear sky
29,Ilulissat,GL,69.2167,-51.1,21.2,38,30,6.91,scattered clouds
30,Khani,GE,41.9563,42.9566,39.2,41,0,14.97,clear sky
31,Surovikino,RU,48.6078,42.8486,31.93,97,99,10.42,snow
