City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2021-01-20 17:52:34,-46.6,168.3333,53.01,83,67,10.0
1,Ushuaia,AR,2021-01-20 17:52:34,-54.8,-68.3,59.0,47,40,16.11
2,Avarua,CK,2021-01-20 17:52:35,-21.2078,-159.775,80.6,83,20,6.91
3,Nome,US,2021-01-20 17:52:35,64.5011,-165.4064,10.4,61,90,6.91
4,Rikitea,PF,2021-01-20 17:52:36,-23.1203,-134.9692,78.1,75,25,15.17
5,Cairns,AU,2021-01-20 17:48:14,-16.9167,145.7667,75.2,94,75,8.05
6,Mataura,NZ,2021-01-20 17:52:38,-46.1927,168.8643,53.01,83,82,10.0
7,Acapulco,MX,2021-01-20 17:51:28,16.8634,-99.8901,86.0,58,20,4.61
8,Tura,IN,2021-01-20 17:50:04,25.5198,90.2201,57.87,92,1,3.76
9,Punta Arenas,CL,2021-01-20 17:50:06,-53.15,-70.9167,59.0,44,0,5.75
10,Port Blair,IN,2021-01-20 17:52:39,11.6667,92.75,77.47,66,71,7.45
11,Port Alfred,ZA,2021-01-20 17:52:40,-33.5906,26.891,70.0,84,75,1.99
12,Emba,KZ,2021-01-20 17:52:41,48.8264,58.1442,-1.53,93,98,3.42
13,Dikson,RU,2021-01-20 17:52:41,73.5069,80.5464,-9.67,92,100,7.65
14,Hermanus,ZA,2021-01-20 17:52:42,-34.4187,19.2345,71.01,67,0,5.01
15,Mwanza,TZ,2021-01-20 17:50:52,-2.5167,32.9,75.2,69,75,4.16
16,Ribeira Grande,PT,2021-01-20 17:52:43,38.5167,-28.7,66.2,88,75,18.41
17,Arraial Do Cabo,BR,2021-01-20 17:52:43,-22.9661,-42.0278,89.6,58,0,24.16
18,Chernyy Yar,RU,2021-01-20 17:52:44,48.0624,46.1091,6.67,92,68,9.46
19,Vadso,NO,2021-01-20 17:52:44,70.0744,29.7487,21.2,86,90,6.91
20,Aksu,CN,2021-01-20 17:52:45,41.1231,80.2644,20.26,89,65,1.28
